10:21:23.281 [background-preinit] INFO  o.h.v.i.util.Version - [<clinit>,21] - HV000001: Hibernate Validator 6.2.0.Final
10:21:25.116 [main] INFO  c.a.n.c.r.client - [lambda$createClient$0,80] - [RpcClientFactory] create a new rpc client of 9e68f926-321c-4d44-a3bb-58bbfcc56f70_config-0
10:21:25.157 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 27 ms to scan 1 urls, producing 3 keys and 6 values 
10:21:25.188 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 16 ms to scan 1 urls, producing 4 keys and 9 values 
10:21:25.200 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 9 ms to scan 1 urls, producing 3 keys and 10 values 
10:21:25.409 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 206 ms to scan 242 urls, producing 0 keys and 0 values 
10:21:25.418 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 8 ms to scan 1 urls, producing 1 keys and 5 values 
10:21:25.430 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 9 ms to scan 1 urls, producing 1 keys and 7 values 
10:21:25.442 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 9 ms to scan 1 urls, producing 2 keys and 8 values 
10:21:25.602 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 157 ms to scan 242 urls, producing 0 keys and 0 values 
10:21:25.603 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [9e68f926-321c-4d44-a3bb-58bbfcc56f70_config-0] RpcClient init label, labels = {module=config, Vipserver-Tag=null, source=sdk, Amory-Tag=null, Location-Tag=null, taskId=0, AppName=unknown}
10:21:25.603 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [9e68f926-321c-4d44-a3bb-58bbfcc56f70_config-0] Register server push request handler:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$$Lambda$332/820422499
10:21:25.603 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [9e68f926-321c-4d44-a3bb-58bbfcc56f70_config-0] Register server push request handler:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$$Lambda$333/1279852178
10:21:25.604 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [9e68f926-321c-4d44-a3bb-58bbfcc56f70_config-0] Registry connection listener to current client:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$1
10:21:25.605 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [9e68f926-321c-4d44-a3bb-58bbfcc56f70_config-0] RpcClient init, ServerListFactory = com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$2
10:21:25.611 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [9e68f926-321c-4d44-a3bb-58bbfcc56f70_config-0] Try to connect to server on start up, server: {serverIp = '192.168.56.10', server main port = 8848}
10:21:29.833 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [9e68f926-321c-4d44-a3bb-58bbfcc56f70_config-0] Try to connect to server on start up, server: {serverIp = '192.168.56.10', server main port = 8848}
10:21:31.947 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [9e68f926-321c-4d44-a3bb-58bbfcc56f70_config-0] Try to connect to server on start up, server: {serverIp = '192.168.56.10', server main port = 8848}
10:21:33.955 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [9e68f926-321c-4d44-a3bb-58bbfcc56f70_config-0] Try to reconnect to a new server, server is  not appointed, will choose a random server.
10:21:33.956 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [9e68f926-321c-4d44-a3bb-58bbfcc56f70_config-0] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$ConnectResetRequestHandler
10:21:33.956 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [9e68f926-321c-4d44-a3bb-58bbfcc56f70_config-0] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$$Lambda$342/1656197285
10:21:35.249 [main] INFO  c.y.s.YinswShopApplication - [logStartupProfileInfo,639] - The following profiles are active: dev
10:21:37.487 [main] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Initializing ProtocolHandler ["http-nio-9500"]
10:21:37.488 [main] INFO  o.a.c.c.StandardService - [log,173] - Starting service [Tomcat]
10:21:37.488 [main] INFO  o.a.c.c.StandardEngine - [log,173] - Starting Servlet engine: [Apache Tomcat/9.0.56]
10:21:37.617 [main] INFO  o.a.c.c.C.[.[.[/] - [log,173] - Initializing Spring embedded WebApplicationContext
10:21:38.071 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [9e68f926-321c-4d44-a3bb-58bbfcc56f70_config-0] Fail to connect server, after trying 1 times, last try server is {serverIp = '192.168.56.10', server main port = 8848}, error = unknown
10:21:38.895 [main] INFO  c.a.d.p.DruidDataSource - [init,998] - {dataSource-1,master} inited
10:21:38.896 [main] INFO  c.b.d.d.DynamicRoutingDataSource - [addDataSource,148] - dynamic-datasource - add a datasource named [master] success
10:21:38.897 [main] INFO  c.b.d.d.DynamicRoutingDataSource - [afterPropertiesSet,228] - dynamic-datasource initial loaded [1] datasource,primary datasource named [master]
10:21:39.707 [main] INFO  c.a.c.s.SentinelWebAutoConfiguration - [addInterceptors,80] - [Sentinel Starter] register SentinelWebInterceptor with urlPatterns: [/**].
10:21:40.299 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [9e68f926-321c-4d44-a3bb-58bbfcc56f70_config-0] Fail to connect server, after trying 2 times, last try server is {serverIp = '192.168.56.10', server main port = 8848}, error = unknown
10:21:41.357 [main] INFO  c.a.n.c.r.client - [lambda$createClient$0,80] - [RpcClientFactory] create a new rpc client of 6f040956-b785-466a-b95d-237a215071a2
10:21:41.357 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [6f040956-b785-466a-b95d-237a215071a2] RpcClient init label, labels = {module=naming, source=sdk}
10:21:41.359 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [6f040956-b785-466a-b95d-237a215071a2] RpcClient init, ServerListFactory = com.alibaba.nacos.client.naming.core.ServerListManager
10:21:41.360 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [6f040956-b785-466a-b95d-237a215071a2] Registry connection listener to current client:com.alibaba.nacos.client.naming.remote.gprc.redo.NamingGrpcRedoService
10:21:41.360 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [6f040956-b785-466a-b95d-237a215071a2] Register server push request handler:com.alibaba.nacos.client.naming.remote.gprc.NamingPushRequestHandler
10:21:41.361 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [6f040956-b785-466a-b95d-237a215071a2] Try to connect to server on start up, server: {serverIp = '192.168.56.10', server main port = 8848}
10:21:42.611 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [9e68f926-321c-4d44-a3bb-58bbfcc56f70_config-0] Fail to connect server, after trying 3 times, last try server is {serverIp = '192.168.56.10', server main port = 8848}, error = unknown
10:21:43.382 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [6f040956-b785-466a-b95d-237a215071a2] Try to connect to server on start up, server: {serverIp = '192.168.56.10', server main port = 8848}
10:21:45.022 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [9e68f926-321c-4d44-a3bb-58bbfcc56f70_config-0] Fail to connect server, after trying 4 times, last try server is {serverIp = '192.168.56.10', server main port = 8848}, error = unknown
10:21:45.395 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [6f040956-b785-466a-b95d-237a215071a2] Try to connect to server on start up, server: {serverIp = '192.168.56.10', server main port = 8848}
10:21:47.403 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [6f040956-b785-466a-b95d-237a215071a2] Try to reconnect to a new server, server is  not appointed, will choose a random server.
10:21:47.403 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [6f040956-b785-466a-b95d-237a215071a2] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$ConnectResetRequestHandler
10:21:47.404 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [6f040956-b785-466a-b95d-237a215071a2] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$$Lambda$342/1656197285
10:21:47.531 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [9e68f926-321c-4d44-a3bb-58bbfcc56f70_config-0] Fail to connect server, after trying 5 times, last try server is {serverIp = '192.168.56.10', server main port = 8848}, error = unknown
10:21:49.832 [main] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Starting ProtocolHandler ["http-nio-9500"]
10:21:50.136 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [9e68f926-321c-4d44-a3bb-58bbfcc56f70_config-0] Fail to connect server, after trying 6 times, last try server is {serverIp = '192.168.56.10', server main port = 8848}, error = unknown
10:21:50.763 [main] INFO  c.a.n.c.r.client - [shutdown,454] - Shutdown rpc client, set status to shutdown
