08:14:33.447 [background-preinit] INFO  o.h.v.i.util.Version - [<clinit>,21] - HV000001: Hibernate Validator 6.2.0.Final
08:14:35.039 [main] INFO  c.a.n.c.r.client - [lambda$createClient$0,80] - [RpcClientFactory] create a new rpc client of bc58d3f6-f2f0-43a6-aee5-0ddfa0c1e92d_config-0
08:14:35.140 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 51 ms to scan 1 urls, producing 3 keys and 6 values 
08:14:35.200 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 30 ms to scan 1 urls, producing 4 keys and 9 values 
08:14:35.222 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 18 ms to scan 1 urls, producing 3 keys and 10 values 
08:14:35.461 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 235 ms to scan 249 urls, producing 0 keys and 0 values 
08:14:35.472 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 10 ms to scan 1 urls, producing 1 keys and 5 values 
08:14:35.487 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 12 ms to scan 1 urls, producing 1 keys and 7 values 
08:14:35.504 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 13 ms to scan 1 urls, producing 2 keys and 8 values 
08:14:35.708 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 201 ms to scan 249 urls, producing 0 keys and 0 values 
08:14:35.711 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [bc58d3f6-f2f0-43a6-aee5-0ddfa0c1e92d_config-0] RpcClient init label, labels = {module=config, Vipserver-Tag=null, source=sdk, Amory-Tag=null, Location-Tag=null, taskId=0, AppName=unknown}
08:14:35.712 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [bc58d3f6-f2f0-43a6-aee5-0ddfa0c1e92d_config-0] Register server push request handler:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$$Lambda$332/246745017
08:14:35.712 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [bc58d3f6-f2f0-43a6-aee5-0ddfa0c1e92d_config-0] Register server push request handler:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$$Lambda$333/956856274
08:14:35.714 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [bc58d3f6-f2f0-43a6-aee5-0ddfa0c1e92d_config-0] Registry connection listener to current client:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$1
08:14:35.715 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [bc58d3f6-f2f0-43a6-aee5-0ddfa0c1e92d_config-0] RpcClient init, ServerListFactory = com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$2
08:14:35.730 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [bc58d3f6-f2f0-43a6-aee5-0ddfa0c1e92d_config-0] Try to connect to server on start up, server: {serverIp = '192.168.56.10', server main port = 8848}
08:14:38.275 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [bc58d3f6-f2f0-43a6-aee5-0ddfa0c1e92d_config-0] Success to connect to server [192.168.56.10:8848] on start up, connectionId = 1655684078935_192.168.56.1_2962
08:14:38.275 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [bc58d3f6-f2f0-43a6-aee5-0ddfa0c1e92d_config-0] Notify connected event to listeners.
08:14:38.276 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [bc58d3f6-f2f0-43a6-aee5-0ddfa0c1e92d_config-0] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$ConnectResetRequestHandler
08:14:38.276 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [bc58d3f6-f2f0-43a6-aee5-0ddfa0c1e92d_config-0] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$$Lambda$342/2080444788
08:14:38.369 [main] INFO  c.y.m.YinswMallApplication - [logStartupProfileInfo,639] - The following profiles are active: dev
08:14:41.509 [main] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Initializing ProtocolHandler ["http-nio-9600"]
08:14:41.510 [main] INFO  o.a.c.c.StandardService - [log,173] - Starting service [Tomcat]
08:14:41.510 [main] INFO  o.a.c.c.StandardEngine - [log,173] - Starting Servlet engine: [Apache Tomcat/9.0.56]
08:14:41.645 [main] INFO  o.a.c.c.C.[.[.[/] - [log,173] - Initializing Spring embedded WebApplicationContext
08:14:43.073 [main] INFO  c.a.d.p.DruidDataSource - [init,998] - {dataSource-1,master} inited
08:14:43.074 [main] INFO  c.b.d.d.DynamicRoutingDataSource - [addDataSource,148] - dynamic-datasource - add a datasource named [master] success
08:14:43.074 [main] INFO  c.b.d.d.DynamicRoutingDataSource - [afterPropertiesSet,228] - dynamic-datasource initial loaded [1] datasource,primary datasource named [master]
08:14:43.937 [main] INFO  c.a.c.s.SentinelWebAutoConfiguration - [addInterceptors,80] - [Sentinel Starter] register SentinelWebInterceptor with urlPatterns: [/**].
08:14:45.654 [main] INFO  c.a.n.c.r.client - [lambda$createClient$0,80] - [RpcClientFactory] create a new rpc client of 613bc7ca-4b83-495e-8563-69564abfe93b
08:14:45.655 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [613bc7ca-4b83-495e-8563-69564abfe93b] RpcClient init label, labels = {module=naming, source=sdk}
08:14:45.656 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [613bc7ca-4b83-495e-8563-69564abfe93b] RpcClient init, ServerListFactory = com.alibaba.nacos.client.naming.core.ServerListManager
08:14:45.656 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [613bc7ca-4b83-495e-8563-69564abfe93b] Registry connection listener to current client:com.alibaba.nacos.client.naming.remote.gprc.redo.NamingGrpcRedoService
08:14:45.657 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [613bc7ca-4b83-495e-8563-69564abfe93b] Register server push request handler:com.alibaba.nacos.client.naming.remote.gprc.NamingPushRequestHandler
08:14:45.658 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [613bc7ca-4b83-495e-8563-69564abfe93b] Try to connect to server on start up, server: {serverIp = '192.168.56.10', server main port = 8848}
